Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,nt/nc,Sample Size,πc,Prop. Treatment (Alt.),δ1,Variance,Attained α
1,Des1,Superiority,1,1-Sided,0.005,0.510429155273652,1,167,0.1,0.25,0.15,Unpooled Estimate, 
2,Des2,Superiority,1,1-Sided,0.005,0.511701612768021,1,276,0.3,0.45,0.15,Unpooled Estimate, 
3,Des3,Superiority,1,1-Sided,0.005,0.511583364756783,1,288,0.5,0.65,0.15,Unpooled Estimate, 
4,Des4,Superiority,1,1-Sided,0.005,0.510953058301008,1,125,0.8,0.95,0.15,Unpooled Estimate, 
5,Des5,Superiority,1,1-Sided,0.025,0.513269486423615,1,98,0.1,0.25,0.15,Unpooled Estimate, 
6,Des6,Superiority,1,1-Sided,0.025,0.511872258465812,1,161,0.3,0.45,0.15,Unpooled Estimate, 
7,Des7,Superiority,1,1-Sided,0.025,0.511781946285334,1,168,0.5,0.65,0.15,Unpooled Estimate, 
8,Des8,Superiority,1,1-Sided,0.025,0.511753498025624,1,73,0.8,0.95,0.15,Unpooled Estimate, 
9,Des9,Superiority,1,1-Sided,0.05,0.511032795651758,1,69,0.1,0.25,0.15,Unpooled Estimate, 
10,Des10,Superiority,1,1-Sided,0.05,0.511745490976171,1,114,0.3,0.45,0.15,Unpooled Estimate, 
11,Des11,Superiority,1,1-Sided,0.05,0.511791484032274,1,119,0.5,0.65,0.15,Unpooled Estimate, 
12,Des12,Superiority,1,1-Sided,0.05,0.513647818452585,1,52,0.8,0.95,0.15,Unpooled Estimate, 
13,Des13,Superiority,1,1-Sided,0.1,0.515462243613528,1,43,0.1,0.25,0.15,Unpooled Estimate, 
14,Des14,Superiority,1,1-Sided,0.1,0.512140348411478,1,70,0.3,0.45,0.15,Unpooled Estimate, 
15,Des15,Superiority,1,1-Sided,0.1,0.511925088663711,1,73,0.5,0.65,0.15,Unpooled Estimate, 
16,Des16,Superiority,1,1-Sided,0.1,0.514207141811335,1,32,0.8,0.95,0.15,Unpooled Estimate, 
17,Des17,Superiority,1,1-Sided,0.245,0.514222249423806,1,13,0.1,0.25,0.15,Unpooled Estimate, 
18,Des18,Superiority,1,1-Sided,0.245,0.511287117032186,1,21,0.3,0.45,0.15,Unpooled Estimate, 
19,Des19,Superiority,1,1-Sided,0.245,0.511822446702858,1,22,0.5,0.65,0.15,Unpooled Estimate, 
20,Des20,Superiority,1,1-Sided,0.245,0.518349743553125,1,10,0.8,0.95,0.15,Unpooled Estimate, 
21,Des21,Superiority,1,1-Sided,0.005,0.801520992209598,1,289,0.1,0.25,0.15,Unpooled Estimate, 
22,Des22,Superiority,1,1-Sided,0.005,0.800055686291201,1,475,0.3,0.45,0.15,Unpooled Estimate, 
23,Des23,Superiority,1,1-Sided,0.005,0.800282289326628,1,496,0.5,0.65,0.15,Unpooled Estimate, 
24,Des24,Superiority,1,1-Sided,0.005,0.80130217736853,1,216,0.8,0.95,0.15,Unpooled Estimate, 
25,Des25,Superiority,1,1-Sided,0.025,0.800797330880385,1,194,0.1,0.25,0.15,Unpooled Estimate, 
26,Des26,Superiority,1,1-Sided,0.025,0.800995805451984,1,320,0.3,0.45,0.15,Unpooled Estimate, 
27,Des27,Superiority,1,1-Sided,0.025,0.801008615611448,1,334,0.5,0.65,0.15,Unpooled Estimate, 
28,Des28,Superiority,1,1-Sided,0.025,0.800627017877462,1,145,0.8,0.95,0.15,Unpooled Estimate, 
29,Des29,Superiority,1,1-Sided,0.05,0.801131274971681,1,153,0.1,0.25,0.15,Unpooled Estimate, 
30,Des30,Superiority,1,1-Sided,0.05,0.80079598321985,1,252,0.3,0.45,0.15,Unpooled Estimate, 
31,Des31,Superiority,1,1-Sided,0.05,0.800774315357511,1,263,0.5,0.65,0.15,Unpooled Estimate, 
32,Des32,Superiority,1,1-Sided,0.05,0.802929724350127,1,115,0.8,0.95,0.15,Unpooled Estimate, 
33,Des33,Superiority,1,1-Sided,0.1,0.802143602224808,1,112,0.1,0.25,0.15,Unpooled Estimate, 
34,Des34,Superiority,1,1-Sided,0.1,0.801099993914242,1,184,0.3,0.45,0.15,Unpooled Estimate, 
35,Des35,Superiority,1,1-Sided,0.1,0.801032428462447,1,192,0.5,0.65,0.15,Unpooled Estimate, 
36,Des36,Superiority,1,1-Sided,0.1,0.803034330972119,1,84,0.8,0.95,0.15,Unpooled Estimate, 
37,Des37,Superiority,1,1-Sided,0.245,0.800414536537715,1,58,0.1,0.25,0.15,Unpooled Estimate, 
38,Des38,Superiority,1,1-Sided,0.245,0.801260928419028,1,96,0.3,0.45,0.15,Unpooled Estimate, 
39,Des39,Superiority,1,1-Sided,0.245,0.800839794854059,1,100,0.5,0.65,0.15,Unpooled Estimate, 
40,Des40,Superiority,1,1-Sided,0.245,0.80350601643129,1,44,0.8,0.95,0.15,Unpooled Estimate, 
41,Des41,Superiority,1,1-Sided,0.005,0.900895739575475,1,368,0.1,0.25,0.15,Unpooled Estimate, 
42,Des42,Superiority,1,1-Sided,0.005,0.900505076514995,1,606,0.3,0.45,0.15,Unpooled Estimate, 
43,Des43,Superiority,1,1-Sided,0.005,0.900242356592056,1,632,0.5,0.65,0.15,Unpooled Estimate, 
44,Des44,Superiority,1,1-Sided,0.005,0.900686093470732,1,275,0.8,0.95,0.15,Unpooled Estimate, 
45,Des45,Superiority,1,1-Sided,0.025,0.9008928709509,1,260,0.1,0.25,0.15,Unpooled Estimate, 
46,Des46,Superiority,1,1-Sided,0.025,0.900463743158855,1,428,0.3,0.45,0.15,Unpooled Estimate, 
47,Des47,Superiority,1,1-Sided,0.025,0.900011648706541,1,446,0.5,0.65,0.15,Unpooled Estimate, 
48,Des48,Superiority,1,1-Sided,0.025,0.900287902591357,1,194,0.8,0.95,0.15,Unpooled Estimate, 
49,Des49,Superiority,1,1-Sided,0.05,0.900918044166139,1,212,0.1,0.25,0.15,Unpooled Estimate, 
50,Des50,Superiority,1,1-Sided,0.05,0.900541966321832,1,349,0.3,0.45,0.15,Unpooled Estimate, 
51,Des51,Superiority,1,1-Sided,0.05,0.900361283904177,1,364,0.5,0.65,0.15,Unpooled Estimate, 
52,Des52,Superiority,1,1-Sided,0.05,0.900072471359852,1,158,0.8,0.95,0.15,Unpooled Estimate, 
53,Des53,Superiority,1,1-Sided,0.1,0.901313559203667,1,163,0.1,0.25,0.15,Unpooled Estimate, 
54,Des54,Superiority,1,1-Sided,0.1,0.900705141373602,1,268,0.3,0.45,0.15,Unpooled Estimate, 
55,Des55,Superiority,1,1-Sided,0.1,0.90013004062479,1,279,0.5,0.65,0.15,Unpooled Estimate, 
56,Des56,Superiority,1,1-Sided,0.1,0.901528001780768,1,122,0.8,0.95,0.15,Unpooled Estimate, 
57,Des57,Superiority,1,1-Sided,0.245,0.900162670630587,1,96,0.1,0.25,0.15,Unpooled Estimate, 
58,Des58,Superiority,1,1-Sided,0.245,0.900956640468813,1,159,0.3,0.45,0.15,Unpooled Estimate, 
59,Des59,Superiority,1,1-Sided,0.245,0.901007687349678,1,166,0.5,0.65,0.15,Unpooled Estimate, 
60,Des60,Superiority,1,1-Sided,0.245,0.900682086361419,1,72,0.8,0.95,0.15,Unpooled Estimate, 
61,Des61,Superiority,1,1-Sided,0.005,0.990024977999389,1,593,0.1,0.25,0.15,Unpooled Estimate, 
62,Des62,Superiority,1,1-Sided,0.005,0.990048382575318,1,978,0.3,0.45,0.15,Unpooled Estimate, 
63,Des63,Superiority,1,1-Sided,0.005,0.990000197035125,1,1020,0.5,0.65,0.15,Unpooled Estimate, 
64,Des64,Superiority,1,1-Sided,0.005,0.990110726801258,1,444,0.8,0.95,0.15,Unpooled Estimate, 
65,Des65,Superiority,1,1-Sided,0.025,0.990101895671973,1,454,0.1,0.25,0.15,Unpooled Estimate, 
66,Des66,Superiority,1,1-Sided,0.025,0.990065001757652,1,748,0.3,0.45,0.15,Unpooled Estimate, 
67,Des67,Superiority,1,1-Sided,0.025,0.990013962373907,1,780,0.5,0.65,0.15,Unpooled Estimate, 
68,Des68,Superiority,1,1-Sided,0.025,0.990021891284279,1,339,0.8,0.95,0.15,Unpooled Estimate, 
69,Des69,Superiority,1,1-Sided,0.05,0.990134582937153,1,390,0.1,0.25,0.15,Unpooled Estimate, 
70,Des70,Superiority,1,1-Sided,0.05,0.990055033333783,1,642,0.3,0.45,0.15,Unpooled Estimate, 
71,Des71,Superiority,1,1-Sided,0.05,0.990049875349821,1,670,0.5,0.65,0.15,Unpooled Estimate, 
72,Des72,Superiority,1,1-Sided,0.05,0.990022348334325,1,291,0.8,0.95,0.15,Unpooled Estimate, 
73,Des73,Superiority,1,1-Sided,0.1,0.990136175849322,1,322,0.1,0.25,0.15,Unpooled Estimate, 
74,Des74,Superiority,1,1-Sided,0.1,0.990058370731881,1,530,0.3,0.45,0.15,Unpooled Estimate, 
75,Des75,Superiority,1,1-Sided,0.1,0.990043702876858,1,553,0.5,0.65,0.15,Unpooled Estimate, 
76,Des76,Superiority,1,1-Sided,0.1,0.990180580177117,1,241,0.8,0.95,0.15,Unpooled Estimate, 
77,Des77,Superiority,1,1-Sided,0.245,0.990094107673035,1,225,0.1,0.25,0.15,Unpooled Estimate, 
78,Des78,Superiority,1,1-Sided,0.245,0.990099922593505,1,371,0.3,0.45,0.15,Unpooled Estimate, 
79,Des79,Superiority,1,1-Sided,0.245,0.990077374610612,1,387,0.5,0.65,0.15,Unpooled Estimate, 
80,Des80,Superiority,1,1-Sided,0.245,0.990036228994946,1,168,0.8,0.95,0.15,Unpooled Estimate, 
81,Des81,Superiority,1,1-Sided Exact,0.005,0.522490788603333,1,74,0.1,0.35,0.25, ,0.00497698468569703
82,Des82,Superiority,1,1-Sided Exact,0.005,0.512870614148871,1,108,0.3,0.55,0.25, ,0.00484943690486705
83,Des83,Superiority,1,1-Sided Exact,0.005,0.520629814442651,1,102,0.5,0.75,0.25, ,0.00496558779785784
84,Des84,Superiority,1,1-Sided Exact,0.025,0.520635550497053,1,48,0.1,0.35,0.25, ,0.022029235084086
85,Des85,Superiority,1,1-Sided Exact,0.025,0.51019354241211,1,62,0.3,0.55,0.25, ,0.0240470503580072
86,Des86,Superiority,1,1-Sided Exact,0.025,0.527904052996405,1,62,0.5,0.75,0.25, ,0.0240470503580072
87,Des87,Superiority,1,1-Sided Exact,0.05,0.518333883236894,1,36,0.1,0.35,0.25, ,0.0424243402061952
88,Des88,Superiority,1,1-Sided Exact,0.05,0.526798259702455,1,52,0.3,0.55,0.25, ,0.0445303287510057
89,Des89,Superiority,1,1-Sided Exact,0.05,0.524102149489086,1,46,0.5,0.75,0.25, ,0.0438726200737119
90,Des90,Superiority,1,1-Sided Exact,0.1,0.542469133352674,1,24,0.1,0.35,0.25, ,0.0810019546596072
91,Des91,Superiority,1,1-Sided Exact,0.1,0.515183408097001,1,36,0.3,0.55,0.25, ,0.0775474610408968
92,Des92,Superiority,1,1-Sided Exact,0.1,0.511301733209849,1,28,0.5,0.75,0.25, ,0.0925734034743753
93,Des93,Superiority,1,1-Sided Exact,0.245,0.566547931934908,1,14,0.1,0.35,0.25, ,0.211974590086599
94,Des94,Superiority,1,1-Sided Exact,0.245,0.517414816380322,1,20,0.3,0.55,0.25, ,0.164773578007134
95,Des95,Superiority,1,1-Sided Exact,0.245,0.531424244865777,1,20,0.5,0.75,0.25, ,0.164773578007134
96,Des96,Superiority,1,1-Sided Exact,0.005,0.804346467392058,1,130,0.1,0.35,0.25, ,0.00470338084650877
97,Des97,Superiority,1,1-Sided Exact,0.005,0.804938231940675,1,184,0.3,0.55,0.25, ,0.00490643078417929
98,Des98,Superiority,1,1-Sided Exact,0.005,0.806349106933082,1,174,0.5,0.75,0.25, ,0.00496529802926863
99,Des99,Superiority,1,1-Sided Exact,0.025,0.805904978194462,1,86,0.1,0.35,0.25, ,0.0248018510728108
100,Des100,Superiority,1,1-Sided Exact,0.025,0.806995010130461,1,124,0.3,0.55,0.25, ,0.0249319278104075
101,Des101,Superiority,1,1-Sided Exact,0.025,0.801008190333605,1,118,0.5,0.75,0.25, ,0.0238891656091098
102,Des102,Superiority,1,1-Sided Exact,0.05,0.812160241068466,1,68,0.1,0.35,0.25, ,0.0487695353429399
103,Des103,Superiority,1,1-Sided Exact,0.05,0.802931024623614,1,100,0.3,0.55,0.25, ,0.048555938157731
104,Des104,Superiority,1,1-Sided Exact,0.05,0.805824192179091,1,92,0.5,0.75,0.25, ,0.049523536127101
105,Des105,Superiority,1,1-Sided Exact,0.1,0.801379478901453,1,54,0.1,0.35,0.25, ,0.0789817528594953
106,Des106,Superiority,1,1-Sided Exact,0.1,0.808153752335159,1,82,0.3,0.55,0.25, ,0.078270346391957
107,Des107,Superiority,1,1-Sided Exact,0.1,0.801721921835253,1,74,0.5,0.75,0.25, ,0.0827723988159089
108,Des108,Superiority,1,1-Sided Exact,0.245,0.802080685000173,1,34,0.1,0.35,0.25, ,0.195765024861715
109,Des109,Superiority,1,1-Sided Exact,0.245,0.808712315556871,1,52,0.3,0.55,0.25, ,0.180283915516742
110,Des110,Superiority,1,1-Sided Exact,0.245,0.800256459837682,1,50,0.5,0.75,0.25, ,0.179865135874421
111,Des111,Superiority,1,1-Sided Exact,0.005,0.894549280286275,1,154,0.1,0.35,0.25, ,0.00488008845033976
112,Des112,Superiority,1,1-Sided Exact,0.005,0.903344179662241,1,232,0.3,0.55,0.25, ,0.00497376599224266
113,Des113,Superiority,1,1-Sided Exact,0.005,0.902867732428654,1,220,0.5,0.75,0.25, ,0.00499036635352097
114,Des114,Superiority,1,1-Sided Exact,0.025,0.905346872644868,1,112,0.1,0.35,0.25, ,0.0249284600044851
115,Des115,Superiority,1,1-Sided Exact,0.025,0.902644599673155,1,164,0.3,0.55,0.25, ,0.0238514433162221
116,Des116,Superiority,1,1-Sided Exact,0.025,0.902192678683365,1,156,0.5,0.75,0.25, ,0.0246474015121631
